alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
3, 15, [15], [3], [33.063835], 1
9, 11, [11], [9], [33.05568], 1
5, 14, [14], [5], [33.063396], 1
5, 9, [9], [5], [33.04684], 1
6, 2, [2], [6], [33.089317], 1
7, 13, [13 16], [7 7], [32.97235  33.124718], 2
7, 4, [4 8], [6 7], [-10.088028  33.09462 ], 2
11, 10, [10], [11], [33.08989], 1
1, 15, [15], [1], [33.063923], 1
12, 16, [16], [12], [33.130642], 1
0, 6, [6], [0], [33.129852], 1
9, 10, [10], [9], [33.0894], 1
12, 13, [13  2], [12 12], [32.939545 33.06028 ], 2
7, 15, [15  2 11], [5 7 7], [-12.5924835  28.89417    33.062145 ], 3
1, 4, [4], [1], [33.05529], 1
8, 15, [15], [8], [33.10672], 1
9, 8, [8], [9], [33.087387], 1
6, 2, [2], [6], [33.088783], 1
6, 5, [ 5  3 16], [6 2 6], [22.5784   15.907883 33.139015], 3
8, 4, [4], [8], [33.067444], 1
7, 15, [15 16], [6 7], [-10.054722  33.12501 ], 2
3, 15, [15], [3], [33.063126], 1
4, 10, [10  2], [8 4], [-10.063162  33.060402], 2
5, 4, [ 4 11], [6 5], [-10.096804  33.079765], 2
4, 12, [12  5 16], [8 4 4], [-12.584957  28.937126  33.17815 ], 3
12, 14, [14], [12], [33.053078], 1
12, 12, [12], [12], [33.061638], 1
12, 13, [13], [12], [33.095993], 1
2, 14, [14], [2], [33.06671], 1
8, 1, [1 6], [4 8], [-10.083887  33.133694], 2

5, 11, [11], [5], [33.079514], 1
1, 9, [9], [1], [33.045967], 1
11, 5, [5], [11], [33.032417], 1
10, 11, [11], [10], [33.0561], 1
12, 8, [8], [12], [33.094017], 1
5, 16, [16], [5], [33.142036], 1
0, 5, [5 7], [2 0], [-10.120031  33.080177], 2
5, 14, [14], [5], [33.063713], 1
1, 11, [11], [1], [33.100872], 1
0, 10, [10  4 14  8], [6 6 0 0], [-23.310314  11.00998   24.924732  33.10013 ], 4
8, 3, [ 3 10  6], [8 8 8], [30.416126 28.98192  33.1326  ], 3
8, 6, [6], [8], [33.131195], 1
0, 7, [7], [0], [33.080276], 1
2, 13, [13], [2], [33.112453], 1
11, 15, [15], [11], [33.10351], 1
11, 7, [7], [11], [33.072716], 1
7, 16, [16], [7], [33.125885], 1
4, 7, [7], [4], [33.08262], 1
10, 6, [6], [10], [33.123955], 1
3, 8, [8], [3], [33.140297], 1
5, 4, [ 4 16], [6 5], [-10.059008  33.142876], 2
5, 6, [6], [5], [33.124702], 1
7, 4, [ 4 13  8], [6 7 7], [-12.571764  28.95464   33.092194], 3
11, 14, [14], [11], [33.05345], 1
12, 8, [8], [12], [33.094017], 1
8, 16, [16 12], [4 8], [-10.010494  33.05672 ], 2
4, 3, [3 5 8], [8 8 4], [-20.435413  15.896385  33.10762 ], 3
8, 1, [1], [8], [33.040684], 1
2, 15, [15 12  7], [5 2 2], [-12.591457  28.896229  33.07759 ], 3
0, 14, [14], [0], [33.066353], 1
11, 3, [3], [11], [33.031136], 1
8, 13, [13], [8], [33.10868], 1

10, 11, [11], [10], [33.056553], 1
2, 3, [ 3  5 13], [2 5 2], [22.564198 15.899275 33.11255 ], 3
